Comunidades y Ciudades Autónomas;Causa de muerte;Periodo;Total
01 Andalucía;009-041  II.Tumores;2002;15523
01 Andalucía;009-041  II.Tumores;2001;15295
01 Andalucía;009-041  II.Tumores;2000;14718
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2021;334
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2020;312
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2019;348
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2018;297
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2017;323
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2016;321
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2015;355
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2014;279
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2013;245
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2012;238
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2011;241
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2010;214
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2009;194
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2008;171
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2007;183
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2006;160
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2005;183
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2004;142
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2003;152
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2002;207
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2001;172
01 Andalucía;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2000;206
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2021;2792
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2020;2565
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2019;2268
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2018;2268
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2017;2220
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2016;2157
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2015;2460
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2014;2039
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2013;1796
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2012;1950
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2011;1740
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2010;2194
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2009;2069
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2008;2048
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2007;2080
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2006;2084
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2005;2175
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2004;2086
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2003;2186
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2002;2156
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2001;2052
01 Andalucía;044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas;2000;2024
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2021;2615
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2020;2449
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2019;2573
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2018;2447
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2017;2325
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2016;2542
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2015;2536
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2014;2293
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2013;2000
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2012;2104
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2011;1962
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2010;1932
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2009;1815
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2008;1630
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2007;1507
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2006;1489
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2005;1545
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2004;1299
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2003;1430
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2002;1306
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2001;1161
01 Andalucía;046-049  V.Trastornos mentales y del comportamiento;2000;1189
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2021;4513
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2020;4408
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2019;4084
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2018;4221
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2017;3992
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2016;4037
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2015;4124
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2014;3750
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2013;3423
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2012;3452
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2011;3250
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2010;2928
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2009;2907
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2008;2699
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2007;2550
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2006;2379
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2005;2271
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2004;2010
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2003;1998
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2002;1753
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2001;1741
01 Andalucía;050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;2000;1517
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2021;22394
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2020;22508
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2019;21213
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2018;22706
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2017;22907
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2016;22237
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2015;23523
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2014;21995
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2013;21674
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2012;22745
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2011;22304
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2010;22120
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2009;22275
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2008;22904
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2007;23387
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2006;22356
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2005;24116
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2004;23184
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2003;24485
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2002;23034
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2001;22542
01 Andalucía;053-061 IX.Enfermedades del sistema circulatorio;2000;23131
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2021;5742
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2020;6581
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2019;7437
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2018;8375
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2017;7851
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2016;7295
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2015;8468
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2014;6861
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2013;6796
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2012;7816
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2011;6996
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2010;6418
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2009;6828
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2008;6957
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2007;7116
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2006;6213
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2005;7636
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2004;6270
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2003;6926
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2002;6469
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2001;5901
01 Andalucía;062-067  X.Enfermedades del sistema respiratorio;2000;6386
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2021;4241
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2020;3972
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2019;4082
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2018;4028
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2017;3857
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2016;3812
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2015;3794
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2014;3515
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2013;3689
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2012;3806
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2011;3692
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2010;3756
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2009;3861
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2008;3865
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2007;3632
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2006;3573
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2005;3763
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2004;3614
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2003;3638
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2002;3440
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2001;3179
01 Andalucía;068-072  XI.Enfermedades del sistema digestivo;2000;3287
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2021;247
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2020;280
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2019;285
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2018;304
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2017;264
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2016;237
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2015;230
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2014;238
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2013;241
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2012;214
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2011;195
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2010;167
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2009;197
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2008;213
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2007;199
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2006;177
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2005;202
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2004;157
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2003;149
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2002;175
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2001;192
01 Andalucía;073  XII.Enfermedades de la piel y del tejido subcutáneo;2000;183
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2021;793
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2020;756
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2019;816
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2018;882
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2017;872
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2016;789
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2015;742
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2014;635
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2013;646
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2012;637
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2011;621
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2010;550
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2009;507
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2008;526
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2007;525
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2006;527
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2005;529
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2004;506
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2003;549
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2002;523
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2001;517
01 Andalucía;074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo;2000;494
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2021;2808
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2020;2619
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2019;2376
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2018;2360
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2017;2233
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2016;2045
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2015;2033
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2014;1863
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2013;2032
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2012;2059
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2011;1947
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2010;1764
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2009;1732
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2008;1736
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2007;1566
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2006;1469
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2005;1547
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2004;1433
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2003;1554
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2002;1420
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2001;1405
01 Andalucía;077-080  XIV.Enfermedades del sistema genitourinario;2000;1363
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2021;1624
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2020;3135
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2019;212
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2018;239
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2017;187
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2016;157
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2015;221
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2014;209
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2013;192
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2012;189
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2011;172
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2010;201
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2009;191
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2008;240
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2007;205
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2006;237
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2005;273
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2004;220
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2003;208
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2002;163
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2001;166
02 Aragón;001-008  I.Enfermedades infecciosas y parasitarias;2000;205
02 Aragón;009-041  II.Tumores;2021;3646
02 Aragón;009-041  II.Tumores;2020;3667
02 Aragón;009-041  II.Tumores;2019;3597
02 Aragón;009-041  II.Tumores;2018;3610
02 Aragón;009-041  II.Tumores;2017;3839
02 Aragón;009-041  II.Tumores;2016;3843
02 Aragón;009-041  II.Tumores;2015;3719
02 Aragón;009-041  II.Tumores;2014;3793
02 Aragón;009-041  II.Tumores;2013;3764
02 Aragón;009-041  II.Tumores;2012;3735
02 Aragón;009-041  II.Tumores;2011;3781
02 Aragón;009-041  II.Tumores;2010;3655
02 Aragón;009-041  II.Tumores;2009;3626
02 Aragón;009-041  II.Tumores;2008;3478
02 Aragón;009-041  II.Tumores;2007;3591
02 Aragón;009-041  II.Tumores;2006;3512
02 Aragón;009-041  II.Tumores;2005;3527
02 Aragón;009-041  II.Tumores;2004;3534
02 Aragón;009-041  II.Tumores;2003;3484
02 Aragón;009-041  II.Tumores;2002;3366
02 Aragón;009-041  II.Tumores;2001;3459
02 Aragón;009-041  II.Tumores;2000;3315
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2021;66
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2020;52
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2019;39
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2018;44
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2017;40
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2016;38
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2015;68
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2014;67
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2013;49
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2012;59
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2011;56
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2010;47
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2009;50
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2008;50
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2007;52
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2006;48
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2005;55
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2004;55
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2003;46
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2002;40
02 Aragón;042-043  III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;2001;43
