Causa de muerte;Edad;Periodo;Total
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2014;38
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2013;41
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2012;46
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2011;58
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2010;70
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2009;86
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2008;103
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2007;138
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2006;145
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2005;208
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2004;220
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2003;274
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2002;303
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2001;374
001-008  I.Enfermedades infecciosas y parasitarias;De 30 a 34 años;2000;425
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2021;110
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2020;147
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2019;31
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2018;33
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2017;36
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2016;58
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2015;48
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2014;81
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2013;76
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2012;106
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2011;115
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2010;157
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2009;205
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2008;276
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2007;337
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2006;330
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2005;431
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2004;521
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2003;536
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2002;563
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2001;627
001-008  I.Enfermedades infecciosas y parasitarias;De 35 a 39 años;2000;617
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2021;243
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2020;240
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2019;78
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2018;80
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2017;100
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2016;112
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2015;150
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2014;162
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2013;177
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2012;237
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2011;287
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2010;324
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2009;385
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2008;467
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2007;572
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2006;524
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2005;558
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2004;585
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2003;594
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2002;526
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2001;482
001-008  I.Enfermedades infecciosas y parasitarias;De 40 a 44 años;2000;401
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2021;423
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2020;538
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2019;124
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2018;161
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2017;176
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2016;191
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2015;274
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2014;313
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2013;349
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2012;373
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2011;407
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2010;443
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2009;457
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2008;437
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2007;394
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2006;420
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2005;386
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2004;343
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2003;310
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2002;272
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2001;253
001-008  I.Enfermedades infecciosas y parasitarias;De 45 a 49 años;2000;225
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2021;824
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2020;961
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2019;234
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2018;253
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2017;273
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2016;298
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2015;335
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2014;349
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2013;327
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2012;349
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2011;339
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2010;293
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2009;276
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2008;289
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2007;267
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2006;251
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2005;241
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2004;232
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2003;226
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2002;199
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2001;202
001-008  I.Enfermedades infecciosas y parasitarias;De 50 a 54 años;2000;201
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2021;1343
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2020;1599
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2019;252
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2018;275
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2017;263
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2016;278
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2015;284
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2014;277
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2013;242
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2012;238
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2011;223
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2010;199
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2009;208
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2008;218
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2007;238
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2006;258
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2005;245
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2004;216
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2003;234
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2002;217
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2001;192
001-008  I.Enfermedades infecciosas y parasitarias;De 55 a 59 años;2000;176
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2021;2168
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2020;2546
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2019;248
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2018;241
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2017;240
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2016;245
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2015;290
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2014;248
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2013;276
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2012;271
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2011;254
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2010;240
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2009;266
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2008;301
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2007;305
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2006;299
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2005;316
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2004;278
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2003;264
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2002;268
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2001;259
001-008  I.Enfermedades infecciosas y parasitarias;De 60 a 64 años;2000;251
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2021;3069
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2020;3705
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2019;281
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2018;309
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2017;320
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2016;328
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2015;410
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2014;355
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2013;291
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2012;349
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2011;325
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2010;290
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2009;338
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2008;373
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2007;363
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2006;372
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2005;401
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2004;440
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2003;478
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2002;443
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2001;489
001-008  I.Enfermedades infecciosas y parasitarias;De 65 a 69 años;2000;489
001-008  I.Enfermedades infecciosas y parasitarias;De 70 a 74 años  ;2021;4219
001-008  I.Enfermedades infecciosas y parasitarias;De 70 a 74 años  ;2020;6062
001-008  I.Enfermedades infecciosas y parasitarias;De 70 a 74 años  ;2019;413
001-008  I.Enfermedades infecciosas y parasitarias;De 70 a 74 años  ;2018;495
