Sociedad > Salud > Análisis de la mortalidad
    Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Unidad de medida:Defunciones


, Gran Canaria
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.945
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,953
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,331
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,34
      XIII. ARTROPATÍAS,43
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,215
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,14
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,18
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,152
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,231
2018,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,115
      II. TUMORES [NEOPLASIAS],1.918
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,23
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,246
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,246
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,291
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,1
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,2.137
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,855
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,325
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,41
      XIII. ARTROPATÍAS,36
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,255
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,19
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,16
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,90
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,212
2017,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,121
      II. TUMORES [NEOPLASIAS],1.857
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,32
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,226
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,198
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,257
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.910
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,772
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,303
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,32
      XIII. ARTROPATÍAS,43
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,220
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,15
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,12
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,94
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,221
2016,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,115
      II. TUMORES [NEOPLASIAS],1.831
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,19
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,273
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,188
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,248
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.934
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,776
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,304
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,23
      XIII. ARTROPATÍAS,54
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,212
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,7
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,16
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,93
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,209
2015,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,117
      II. TUMORES [NEOPLASIAS],1.778
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,27
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,396
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,188
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,281
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,2
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.771
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,789
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,313
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,19
      XIII. ARTROPATÍAS,46
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,210
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,8
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,11
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,75
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,222
2014,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,100
      II. TUMORES [NEOPLASIAS],1.782
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,28
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,621
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,157
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,271
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,2
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.571
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,672
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,258
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,27
      XIII. ARTROPATÍAS,49
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,222
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,6
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,16
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,57
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,200
2013,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,78
      II. TUMORES [NEOPLASIAS],1.885
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,17
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,556
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,191
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,252
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,1
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.354
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,651
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,304
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,16
      XIII. ARTROPATÍAS,36
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,199
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,6
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,16
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,68
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,201
2012,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,118
      II. TUMORES [NEOPLASIAS],1.795
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,15
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,580
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,199
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,218
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.595
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,586
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,275
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,16
      XIII. ARTROPATÍAS,43
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,214
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,11
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,19
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,72
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,231
2011,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,88
      II. TUMORES [NEOPLASIAS],1.694
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,31
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,632
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,178
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,227
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.441
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,503
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,254
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,11
      XIII. ARTROPATÍAS,49
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,185
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,13
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,18
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,139
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,184
2010,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,77
      II. TUMORES [NEOPLASIAS],1.662
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,34
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,541
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,184
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,240
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.457
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,435
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,233
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,10
      XIII. ARTROPATÍAS,38
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,162
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,11
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,15
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,72
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,189
2009,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,103
      II. TUMORES [NEOPLASIAS],1.487
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,16
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,489
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,173
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,225
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.491
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,499
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,256
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,18
      XIII. ARTROPATÍAS,30
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,134
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,9
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,16
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,72
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,194
2008,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,123
      II. TUMORES [NEOPLASIAS],1.631
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,23
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,487
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,154
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,206
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.716
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,576
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,257
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,10
      XIII. ARTROPATÍAS,27
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,129
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,9
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,17
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,100
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,343
2007,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,114
      II. TUMORES [NEOPLASIAS],1.552
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,16
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,521
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,102
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,182
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.725
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,527
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,234
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,23
      XIII. ARTROPATÍAS,38
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,137
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,8
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,20
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,119
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,251
2006,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,108
      II. TUMORES [NEOPLASIAS],1.450
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,13
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,360
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,112
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,144
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.717
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,536
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,252
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,12
      XIII. ARTROPATÍAS,42
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,112
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,12
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,23
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,123
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,262
2005,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,119
      II. TUMORES [NEOPLASIAS],1.407
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,28
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,387
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,132
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,179
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.712
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,551
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,260
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,18
      XIII. ARTROPATÍAS,47
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,124
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,24
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,23
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,143
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,298
2004,
   AMBOS SEXOS,
